run_id, epoch_idx, optimizer_name, batch_size, lr, ta, tl, va, vl
mlp_1x512_bs32_adam_lr0_0005,3,adam,32,0.0005,0.5786,1.3351,0.7233,0.9547
mlp_1x512_bs32_adam_lr0_0005,4,adam,32,0.0005,0.6162,1.215,0.7527,0.865
mlp_1x512_bs32_adam_lr0_0005,5,adam,32,0.0005,0.6363,1.1511,0.7853,0.7866
mlp_1x512_bs32_adam_lr0_0005,6,adam,32,0.0005,0.6572,1.081,0.7953,0.7403
mlp_1x512_bs32_adam_lr0_0005,7,adam,32,0.0005,0.6698,1.0394,0.8047,0.7008
mlp_1x512_bs32_adam_lr0_0005,8,adam,32,0.0005,0.6826,0.9913,0.8253,0.6369
mlp_1x512_bs32_adam_lr0_0005,9,adam,32,0.0005,0.6827,0.9808,0.8227,0.6209
mlp_1x512_bs32_adam_lr0_0005,10,adam,32,0.0005,0.6935,0.9397,0.8373,0.5954
mlp_1x512_bs32_adam_lr0_0005,11,adam,32,0.0005,0.6957,0.9255,0.8387,0.58
mlp_1x512_bs32_adam_lr0_0005,12,adam,32,0.0005,0.7031,0.9134,0.85,0.5627
mlp_1x512_bs32_adam_lr0_0005,13,adam,32,0.0005,0.7132,0.877,0.8453,0.5466
mlp_1x512_bs32_adam_lr0_0005,14,adam,32,0.0005,0.716,0.875,0.8547,0.5234
mlp_1x512_bs32_adam_lr0_0005,15,adam,32,0.0005,0.7164,0.8526,0.8627,0.5116
mlp_1x512_bs32_adam_lr0_0005,16,adam,32,0.0005,0.7271,0.8414,0.864,0.5111
mlp_1x512_bs32_adam_lr0_0005,17,adam,32,0.0005,0.7272,0.8282,0.8573,0.4966
mlp_1x512_bs32_adam_lr0_0005,18,adam,32,0.0005,0.7358,0.8146,0.86,0.4925
mlp_1x512_bs32_adam_lr0_0005,19,adam,32,0.0005,0.7372,0.8021,0.8673,0.4799
mlp_1x512_bs32_adam_lr0_0005,20,adam,32,0.0005,0.7372,0.7992,0.8673,0.488
mlp_1x512_bs32_adam_lr0_0005,21,adam,32,0.0005,0.7386,0.801,0.868,0.4683
mlp_1x512_bs32_adam_lr0_0005,22,adam,32,0.0005,0.739,0.7966,0.8633,0.4591
mlp_1x512_bs32_adam_lr0_0005,23,adam,32,0.0005,0.7438,0.7755,0.8707,0.4569
mlp_1x512_bs32_adam_lr0_0005,24,adam,32,0.0005,0.7466,0.7719,0.8747,0.4408
mlp_1x512_bs32_adam_lr0_0005,25,adam,32,0.0005,0.7506,0.761,0.874,0.4475
mlp_1x512_bs32_adam_lr0_0005,26,adam,32,0.0005,0.7508,0.7618,0.87,0.4427
mlp_1x512_bs32_adam_lr0_0005,27,adam,32,0.0005,0.7537,0.7515,0.8753,0.4403
mlp_1x512_bs32_adam_lr0_0005,28,adam,32,0.0005,0.7557,0.7403,0.8713,0.4253
mlp_1x512_bs32_adam_lr0_0005,29,adam,32,0.0005,0.7573,0.7379,0.8767,0.4219
mlp_1x512_bs32_adam_lr0_0005,30,adam,32,0.0005,0.761,0.7294,0.8733,0.4337
mlp_1x512_bs32_adam_lr0_0005,31,adam,32,0.0005,0.7595,0.7279,0.8773,0.4257
mlp_1x512_bs32_adam_lr0_0005,32,adam,32,0.0005,0.7652,0.7237,0.8833,0.4193
